Year,Units,Time series,COMMENT_OBS_0,Type of area,Federal state,GeoCode,Value
2004,Hectares per day,Moving four-year average,,,Hesse,code06,4.0
2005,Hectares per day,Moving four-year average,,,Hesse,code06,4.0
2006,Hectares per day,Moving four-year average,,,Hesse,code06,4.0
2007,Hectares per day,Moving four-year average,,,Hesse,code06,4.0
2008,Hectares per day,Moving four-year average,,,Hesse,code06,4.0
2009,Hectares per day,Moving four-year average,,,Hesse,code06,4.0
2010,Hectares per day,Moving four-year average,,,Hesse,code06,4.0
2011,Hectares per day,Moving four-year average,,,Hesse,code06,3.0
2012,Hectares per day,Moving four-year average,,,Hesse,code06,3.0
2013,Hectares per day,Moving four-year average,,,Hesse,code06,3.0
2014,Hectares per day,Moving four-year average,,,Hesse,code06,3.0
2015,Hectares per day,Moving four-year average,,,Hesse,code06,3.0
2016,Hectares per day,Moving four-year average,.,,Hesse,code06,
2017,Hectares per day,Moving four-year average,.,,Hesse,code06,
2018,Hectares per day,Moving four-year average,.,,Hesse,code06,
2019,Hectares per day,Moving four-year average,.,,Hesse,code06,
2020,Hectares per day,Moving four-year average,.,,Hesse,code06,
2021,Hectares per day,Moving four-year average,,,Hesse,code06,2.0
2022,Hectares per day,Moving four-year average,…,,Hesse,code06,
2023,Hectares per day,Moving four-year average,…,,Hesse,code06,
2030,Hectares per day,Moving four-year average,…,,Hesse,code06,
1996,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,6.0
1997,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,
1998,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,
1999,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,
2000,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,8.0
2001,Hectares per day,Moving four-year average,.,,Mecklenburg Western Pomerania,code13,
2002,Hectares per day,Moving four-year average,.,,Mecklenburg Western Pomerania,code13,
2003,Hectares per day,Moving four-year average,.,,Mecklenburg Western Pomerania,code13,
2004,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,9.0
2005,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,9.0
2006,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,8.0
2007,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,7.0
2008,Hectares per day,Moving four-year average,r,,Mecklenburg Western Pomerania,code13,8.0
2009,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,8.0
2010,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,8.0
2011,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,7.0
2012,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,5.0
2013,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,4.0
2014,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,3.0
2015,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,3.0
2016,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,7.0
2017,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,4.0
2018,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,4.0
2019,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,3.0
2020,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,-2.0
2021,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,1.0
2022,Hectares per day,Moving four-year average,,,Mecklenburg Western Pomerania,code13,1.0
2023,Hectares per day,Moving four-year average,…,,Mecklenburg Western Pomerania,code13,
2030,Hectares per day,Moving four-year average,…,,Mecklenburg Western Pomerania,code13,
1996,Hectares per day,Moving four-year average,,,Lower Saxony,code03,16.0
1997,Hectares per day,Moving four-year average,,,Lower Saxony,code03,
1998,Hectares per day,Moving four-year average,,,Lower Saxony,code03,
1999,Hectares per day,Moving four-year average,,,Lower Saxony,code03,
2000,Hectares per day,Moving four-year average,,,Lower Saxony,code03,16.0
2001,Hectares per day,Moving four-year average,.,,Lower Saxony,code03,
2002,Hectares per day,Moving four-year average,.,,Lower Saxony,code03,
2003,Hectares per day,Moving four-year average,.,,Lower Saxony,code03,
2004,Hectares per day,Moving four-year average,,,Lower Saxony,code03,14.0
2005,Hectares per day,Moving four-year average,,,Lower Saxony,code03,14.0
2006,Hectares per day,Moving four-year average,,,Lower Saxony,code03,14.0
2007,Hectares per day,Moving four-year average,,,Lower Saxony,code03,14.0
2008,Hectares per day,Moving four-year average,,,Lower Saxony,code03,12.0
2009,Hectares per day,Moving four-year average,,,Lower Saxony,code03,10.0
2010,Hectares per day,Moving four-year average,,,Lower Saxony,code03,9.0
2011,Hectares per day,Moving four-year average,,,Lower Saxony,code03,11.0
2012,Hectares per day,Moving four-year average,,,Lower Saxony,code03,10.0
2013,Hectares per day,Moving four-year average,,,Lower Saxony,code03,11.0
2014,Hectares per day,Moving four-year average,,,Lower Saxony,code03,11.0
2015,Hectares per day,Moving four-year average,,,Lower Saxony,code03,10.0
