Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2024/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen-Anhalt,code15,37.64
2022/1,Prozent,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.61
2022/2,Prozent,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.59
2023/1,Prozent,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.7
2023/2,Prozent,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.71
2024/1,Prozent,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.15
2022/1,Prozent,Hybrid Fiber Coax (HFC),Thüringen,code16,35.41
2022/2,Prozent,Hybrid Fiber Coax (HFC),Thüringen,code16,35.11
2023/1,Prozent,Hybrid Fiber Coax (HFC),Thüringen,code16,38.94
2023/2,Prozent,Hybrid Fiber Coax (HFC),Thüringen,code16,39.78
2024/1,Prozent,Hybrid Fiber Coax (HFC),Thüringen,code16,40.05
